Category,Message,Senders_Anonimity,legitimate_contact_info,Appealing_Subject
ham,Even my brother is not like to speak with me. They treat me like aids patent.,no,yes,no
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,yes,no,yes
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",yes,no,yes
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",yes,no,yes
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,no,yes,no
ham,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free.,no,yes,no
ham,Get me out of this dump heap. My mom decided to come to lowes. BORING.,no,yes,no
ham,"Cool, what time you think you can get here?",no,yes,no
ham,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. ",no,yes,no
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",yes,no,yes
ham,Is that seriously how you spell his name?,no,yes,no
ham,I‰Û÷m going to try for 2 months ha ha only joking,no,yes,no
ham,So Ì_ pay first lar... Then when is da stock comin...,no,yes,no
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,no,yes,no
ham,Ffffffffff. Alright no way I can meet up with you sooner?,no,yes,no
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,no,yes,no
ham,Lol your always so convincing.,no,yes,no
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,no,yes,no
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",no,yes,no
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,no,yes,no
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",no,yes,no
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,no,yes,no
ham,K tell me anything about you.,no,yes,no
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,no,yes,no
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,yes,no,yes
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,no,yes,no
ham,"Oops, I'll let you know when my roommate's done",no,yes,no
ham,I see the letter B on my car,no,yes,no
ham,Anything lor... U decide...,no,yes,no
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,no,yes,no
